,ds,Positive,Negative,Neutral
975,2016-04-06,,,
976,2016-04-07,,,
977,2016-04-08,,,
978,2016-04-11,,,
979,2016-04-12,,,
980,2016-04-13,,,
981,2016-04-14,,,
982,2016-04-15,,,
983,2016-04-18,,,
984,2016-04-19,,,
985,2016-04-20,,,
986,2016-04-21,,,
987,2016-04-22,,,
988,2016-04-25,,,
989,2016-04-26,,,
990,2016-04-27,,,
991,2016-04-28,,,
992,2016-04-29,,,
993,2016-05-02,,,
994,2016-05-03,,,
995,2016-05-04,,,
996,2016-05-05,,,
997,2016-05-06,,,
998,2016-05-09,,,
999,2016-05-10,,,
1000,2016-05-11,,,
1001,2016-05-12,,,
1002,2016-05-13,,,
1003,2016-05-16,,,
1004,2016-05-17,,,
1005,2016-05-18,,,
1006,2016-05-19,,,
1007,2016-05-20,,,
1008,2016-05-23,,,
1009,2016-05-24,,,
1010,2016-05-25,,,
1011,2016-05-26,,,
1012,2016-05-27,,,
1013,2016-05-31,,,
1014,2016-06-01,,,
1015,2016-06-02,,,
1016,2016-06-03,,,
1017,2016-06-06,,,
1018,2016-06-07,,,
1019,2016-06-08,,,
1020,2016-06-09,,,
1021,2016-06-10,,,
1022,2016-06-13,,,
1023,2016-06-14,,,
1024,2016-06-15,,,
1025,2016-06-16,,,
1026,2016-06-17,,,
1027,2016-06-20,,,
1028,2016-06-21,,,
1029,2016-06-22,,,
1030,2016-06-23,,,
1031,2016-06-24,,,
1032,2016-06-27,,,
1033,2016-06-28,,,
1034,2016-06-29,,,
1035,2016-06-30,,,
1036,2016-07-01,,,
1037,2016-07-05,,,
1038,2016-07-06,,,
1039,2016-07-07,,,
1040,2016-07-08,,,
1041,2016-07-11,,,
1042,2016-07-12,,,
1043,2016-07-13,,,
1044,2016-07-14,,,
1045,2016-07-15,,,
1046,2016-07-18,,,
1047,2016-07-19,,,
1048,2016-07-20,,,
1049,2016-07-21,,,
1050,2016-07-22,,,
1051,2016-07-25,,,
1052,2016-07-26,,,
1053,2016-07-27,,,
1054,2016-07-28,,,
1055,2016-07-29,,,
1056,2016-08-01,,,
1057,2016-08-02,,,
1058,2016-08-03,,,
1059,2016-08-04,,,
1060,2016-08-05,,,
1061,2016-08-08,,,
1062,2016-08-09,,,
1063,2016-08-10,,,
1064,2016-08-11,,,
1065,2016-08-12,,,
1066,2016-08-15,,,
1067,2016-08-16,,,
1068,2016-08-17,,,
1069,2016-08-18,,,
1070,2016-08-19,,,
1071,2016-08-22,,,
1072,2016-08-23,,,
1073,2016-08-24,,,
1074,2016-08-25,,,
1075,2016-08-26,,,
1076,2016-08-29,,,
1077,2016-08-30,,,
1078,2016-08-31,,,
1079,2016-09-01,,,
1080,2016-09-02,,,
1081,2016-09-06,,,
1082,2016-09-07,,,
1083,2016-09-08,,,
1084,2016-09-09,,,
1085,2016-09-12,,,
1086,2016-09-13,,,
1087,2016-09-14,,,
1088,2016-09-15,,,
1089,2016-09-16,,,
1090,2016-09-19,,,
1091,2016-09-20,,,
1092,2016-09-21,,,
1093,2016-09-22,,,
1094,2016-09-23,,,
1095,2016-09-26,,,
1096,2016-09-27,,,
1097,2016-09-28,,,
1098,2016-09-29,,,
1099,2016-09-30,,,
1100,2016-10-03,,,
1101,2016-10-04,,,
1102,2016-10-05,,,
1103,2016-10-06,,,
1104,2016-10-07,,,
1105,2016-10-10,,,
1106,2016-10-11,,,
1107,2016-10-12,,,
1108,2016-10-13,,,
1109,2016-10-14,,,
1110,2016-10-17,,,
1111,2016-10-18,,,
1112,2016-10-19,,,
1113,2016-10-20,,,
1114,2016-10-21,,,
1115,2016-10-24,,,
1116,2016-10-25,,,
1117,2016-10-26,,,
1118,2016-10-27,,,
1119,2016-10-28,,,
1120,2016-10-31,,,
1121,2016-11-01,,,
1122,2016-11-02,,,
1123,2016-11-03,,,
1124,2016-11-04,,,
1125,2016-11-07,,,
1126,2016-11-08,,,
1127,2016-11-09,,,
1128,2016-11-10,,,
1129,2016-11-11,,,
1130,2016-11-14,,,
1131,2016-11-15,,,
1132,2016-11-16,,,
1133,2016-11-17,,,
